ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
75,1,,7.96E+017,11/8/2016 22:13:00,,40608796,Yes. Our future is mediocre at best.,https://twitter.com/antisocialista/status/795649948067000321,antisocialista,,
76,0,,7.96E+017,11/8/2016 22:14:00,,,?,https://twitter.com/theonion/status/796050942823112704,Alex_TheGreat7,,
77,2,ImWithHer,7.96E+017,11/8/2016 21:53:00,,4229513719,#ImWithHer because yall let bernie sanders fail,,ladyrugaa,,
78,7,,7.96E+017,11/7/2016 19:20:00,,1948527704,got a picture with bernie sanders,https://t.co/4uBe9aJBkR,idkcristina,,
79,19,,7.96E+017,11/8/2016 21:42:00,,180790513,Bernie Sanders shares a @TheOnion article about him.,https://t.co/q16wj7D52x,chris_diggity,,
80,1,"Bernie, VoteTrump, HC, Wikileaks, Hillary",7.96E+017,11/7/2016 2:29:00,,7.87E+017,Clinton Blackmailed Bernie Sanders  – The Real Strategy,https://t.co/jdyHdUKq9U,RendonElise,,
81,32,,7.96E+017,11/8/2016 15:16:00,,290338280,friendly reminder to all u thick skulls out there NOT to write in bernie sanders i repeat do not do it. don't do it do u hear my cries,,CrowntheBeans,,
82,26,,7.96E+017,11/8/2016 22:08:00,,552231854,Upsets me how Bernie Sanders was literally marching with and even chained to slaves in the past and we slacked on him when he needed us,,Sarauniya__,,
83,4,ElectionDay,7.96E+017,11/8/2016 22:02:00,,426686311,Democratic Party has problem b/c strong performance of Bernie Sanders moved party significantly to left [liberalism] -Dr Anyasi,,LanreAgboola1,,
84,0,,7.96E+017,11/8/2016 22:14:00,,,Aux USA ça se plaint d'Hillary mais il fallait voter pour mon gars SUR Bernie Sanders,,Allst4rguy,,
85,0,,7.96E+017,11/8/2016 22:25:00,7.96E+017,,"@ChampJulius Paul Ryan would have been the next guy if he wanted, but he pushed it off",,LUtang_Secret,,
86,263,,7.96E+017,11/8/2016 21:20:00,,7.73E+017,"We should never forgive nor forget what Mitch McConnell, Paul Ryan, Ted Cruz and the rest of Republican leadership did to help Trump.",,TMctrumpyface,,
87,1025,,7.96E+017,11/7/2016 14:15:00,,2460685506,"The nightmare for Republicans is, if Trump loses, he's gonna be way angrier at Paul Ryan than Hillary Clinton.",,_Minnesota_Nice,,
88,0,,7.96E+017,11/8/2016 22:26:00,,,Paul Ryan: “I feel very good where I am”,http://e-spaces.eu/?p=73015,EspacesEU,,
